producto,periodo,unidades
Lavarropas,Jan-21,"32,653"
Lavarropas,Feb-21,"29,268"
Lavarropas,Mar-21,"45,180"
Lavarropas,Apr-21,"37,684"
Lavarropas,May-21,"44,645"
Lavarropas,Jun-21,"49,030"
Lavarropas,Jul-21,"56,992"
Lavarropas,Aug-21,"49,341"
Lavarropas,Sep-21,"44,809"
Lavarropas,Oct-21,"45,887"
Lavarropas,Nov-21,"49,775"
Lavarropas,Dec-21,"39,255"
Lavarropas,Jan-22,"40,659"
Lavarropas,Feb-22,"39,520"
Lavarropas,Mar-22,"56,859"
Lavarropas,Apr-22,"54,270"
Lavarropas,May-22,"66,406"
Lavarropas,Jun-22,"68,938"
Lavarropas,Jul-22,"67,969"
Lavarropas,Aug-22,"51,011"
Lavarropas,Sep-22,"48,295"
Lavarropas,Oct-22,"53,868"
Lavarropas,Nov-22,"48,656"
Lavarropas,Dec-22,"39,182"
Lavarropas,Jan-23,"45,154"
Lavarropas,Feb-23,"42,629"
Lavarropas,Mar-23,"57,026"
Lavarropas,Apr-23,"64,069"
Lavarropas,May-23,"76,758"
Lavarropas,Jun-23,"64,930"
Lavarropas,Jul-23,"76,121"
Lavarropas,Aug-23,"54,712"
Lavarropas,Sep-23,"47,432"
Lavarropas,Oct-23,"58,289"
Lavarropas,Nov-23,"44,180"
Lavarropas,Dec-23,"27,645"
Lavarropas,Jan-24,"24,276"
Lavarropas,Feb-24,"26,270"
Lavarropas,Mar-24,"38,232"
Lavarropas,Apr-24,"45,412"
Lavarropas,May-24,"65,099"
Lavarropas,Jun-24,"54,660"
Lavarropas,Jul-24,"64,638"
Lavarropas,Aug-24,"54,192"
Lavarropas,Sep-24,"51,379"
Lavarropas,Oct-24,"51,256"
Lavarropas,Nov-24,"57,114"
Lavarropas,Dec-24,"45,860"
Cocinas,Jan-21,"21,293"
Cocinas,Feb-21,"19,565"
Cocinas,Mar-21,"25,702"
Cocinas,Apr-21,"21,077"
Cocinas,May-21,"26,034"
Cocinas,Jun-21,"26,672"
Cocinas,Jul-21,"33,402"
Cocinas,Aug-21,"30,119"
Cocinas,Sep-21,"27,816"
Cocinas,Oct-21,"29,055"
Cocinas,Nov-21,"31,903"
Cocinas,Dec-21,"26,417"
Cocinas,Jan-22,"23,306"
Cocinas,Feb-22,"23,166"
Cocinas,Mar-22,"29,664"
Cocinas,Apr-22,"28,384"
Cocinas,May-22,"32,692"
Cocinas,Jun-22,"36,045"
Cocinas,Jul-22,"37,641"
Cocinas,Aug-22,"27,967"
Cocinas,Sep-22,"26,553"
Cocinas,Oct-22,"28,901"
Cocinas,Nov-22,"26,929"
Cocinas,Dec-22,"23,463"
Cocinas,Jan-23,"25,882"
Cocinas,Feb-23,"22,056"
Cocinas,Mar-23,"27,909"
Cocinas,Apr-23,"33,665"
Cocinas,May-23,"39,195"
Cocinas,Jun-23,"31,703"
Cocinas,Jul-23,"40,393"
Cocinas,Aug-23,"30,836"
Cocinas,Sep-23,"30,146"
Cocinas,Oct-23,"39,987"
Cocinas,Nov-23,"29,300"
Cocinas,Dec-23,"19,392"
Cocinas,Jan-24,"18,558"
Cocinas,Feb-24,"14,953"
Cocinas,Mar-24,"19,796"
Cocinas,Apr-24,"22,737"
Cocinas,May-24,"35,935"
Cocinas,Jun-24,"31,578"
Cocinas,Jul-24,"42,094"
Cocinas,Aug-24,"37,532"
Cocinas,Sep-24,"33,613"
Cocinas,Oct-24,"34,724"
Cocinas,Nov-24,"39,351"
Cocinas,Dec-24,"32,324"
Estufas,Jan-21,"2,887"
Estufas,Feb-21,"3,736"
Estufas,Mar-21,"12,344"
Estufas,Apr-21,"16,226"
Estufas,May-21,"37,911"
Estufas,Jun-21,"33,990"
Estufas,Jul-21,"23,461"
Estufas,Aug-21,"11,349"
Estufas,Sep-21,"5,939"
Estufas,Oct-21,"3,738"
Estufas,Nov-21,"3,333"
Estufas,Dec-21,"2,347"
Estufas,Jan-22,"2,813"
Estufas,Feb-22,"3,666"
Estufas,Mar-22,"11,908"
Estufas,Apr-22,"22,070"
Estufas,May-22,"50,316"
Estufas,Jun-22,"42,054"
Estufas,Jul-22,"24,972"
Estufas,Aug-22,"10,376"
Estufas,Sep-22,"5,430"
Estufas,Oct-22,"3,225"
Estufas,Nov-22,"2,953"
Estufas,Dec-22,"1,967"
Estufas,Jan-23,"2,431"
Estufas,Feb-23,"3,919"
Estufas,Mar-23,"9,333"
Estufas,Apr-23,"25,570"
Estufas,May-23,"49,638"
Estufas,Jun-23,"73,897"
Estufas,Jul-23,"56,920"
Estufas,Aug-23,"19,324"
Estufas,Sep-23,"10,827"
Estufas,Oct-23,"6,217"
Estufas,Nov-23,"3,394"
Estufas,Dec-23,"2,545"
Estufas,Jan-24,"3,009"
Estufas,Feb-24,"3,033"
Estufas,Mar-24,"6,163"
Estufas,Apr-24,"26,161"
Estufas,May-24,"81,385"
Estufas,Jun-24,"35,072"
Estufas,Jul-24,"62,417"
Estufas,Aug-24,"19,042"
Estufas,Sep-24,"5,713"
Estufas,Oct-24,"3,386"
Estufas,Nov-24,"3,555"
Estufas,Dec-24,"2,660"
Calefones,Jan-21,"25,083"
Calefones,Feb-21,"26,604"
Calefones,Mar-21,"35,888"
Calefones,Apr-21,"33,198"
Calefones,May-21,"45,481"
Calefones,Jun-21,"53,142"
Calefones,Jul-21,"51,284"
Calefones,Aug-21,"43,912"
Calefones,Sep-21,"35,668"
Calefones,Oct-21,"32,606"
Calefones,Nov-21,"34,607"
Calefones,Dec-21,"25,338"
Calefones,Jan-22,"25,974"
Calefones,Feb-22,"31,635"
Calefones,Mar-22,"48,929"
Calefones,Apr-22,"51,989"
Calefones,May-22,"67,088"
Calefones,Jun-22,"74,707"
Calefones,Jul-22,"68,524"
Calefones,Aug-22,"47,416"
Calefones,Sep-22,"41,216"
Calefones,Oct-22,"38,969"
Calefones,Nov-22,"32,848"
Calefones,Dec-22,"26,339"
Calefones,Jan-23,"28,294"
Calefones,Feb-23,"28,554"
Calefones,Mar-23,"39,820"
Calefones,Apr-23,"58,144"
Calefones,May-23,"65,208"
Calefones,Jun-23,"66,315"
Calefones,Jul-23,"71,382"
Calefones,Aug-23,"53,899"
Calefones,Sep-23,"43,670"
Calefones,Oct-23,"47,612"
Calefones,Nov-23,"37,875"
Calefones,Dec-23,"26,420"
Calefones,Jan-24,"23,618"
Calefones,Feb-24,"22,744"
Calefones,Mar-24,"30,743"
Calefones,Apr-24,"40,969"
Calefones,May-24,"72,961"
Calefones,Jun-24,"55,821"
Calefones,Jul-24,"73,849"
Calefones,Aug-24,"55,259"
Calefones,Sep-24,"39,088"
Calefones,Oct-24,"35,893"
Calefones,Nov-24,"37,823"
Calefones,Dec-24,"32,481"
